Voedingsstofgroep|Component group|Nutrient-code|Voedingsstof|Component|Eenheid/Unit
Energie en macronutriënten|Energy and macronutrients|ENERCJ| Energie kJ| Energy kJ |kJ
Energie en macronutriënten|Energy and macronutrients|ENERCC| Energie kcal | Energy kcal |kcal
Energie en macronutriënten|Energy and macronutrients|WATER| Water totaal| Water total|g
Energie en macronutriënten|Energy and macronutrients|PROT| Eiwit totaal| Protein total|g
Energie en macronutriënten|Energy and macronutrients|FAT| Vet totaal| Fat total|g
Energie en macronutriënten|Energy and macronutrients|CHO| Koolhydraten beschikbaar| Carbohydrate available|g
Energie en macronutriënten|Energy and macronutrients|FIBT| Voedingsvezel totaal| Fibre dietary total|g
Energie en macronutriënten|Energy and macronutrients|ALC| Alcohol totaal| Alcohol total|g
Energie en macronutriënten|Energy and macronutrients|OA| Organische zuren totaal| Organic acids total|g
Energie en macronutriënten|Energy and macronutrients|ASH| As| Ash|g
Eiwitten|Protein|PROT| Eiwit totaal| Protein total|g
Eiwit totaal|protein total|PROTPL| Eiwit plantaardig| Protein plant|g
Eiwit totaal|protein total|PROTAN| Eiwit dierlijk| Protein animal|g
Eiwitten|Protein|NT| Stikstof totaal| Nitrogen total|g
Koolhydraten|Carbohydrates|CHO| Koolhydraten beschikbaar| Carbohydrate available|g
Koolhydraten beschikbaar|Carbohydrates available|SUGAR| Mono en disachariden totaal| Sugars total|g
Koolhydraten beschikbaar|Carbohydrates available|STARCH| Polysachariden totaal| Starch total|g
Koolhydraten beschikbaar|Carbohydrates available|POLYL| Polyolen totaal| Polyols total|g
Koolhydraten|Carbohydrates|FIBT| Voedingsvezel totaal| Fibre dietary total|g
Vet en vetzuurclusters|Fat and fatty acid clusters|FAT| Vet totaal| Fat total|g
Vetzuurclusters|Fatty acid clusters|FACID| Vetzuren totaal| Fatty acids total|g
Vetzuurclusters|Fatty acid clusters|FASAT| Vetzuren verzadigd totaal| Fatty acids saturated total|g
Verzadigde vetzuren|Saturated fatty acids|F4:0| C4:0| C4:0  |g
Verzadigde vetzuren|Saturated fatty acids|F6:0| C6:0| C6:0 |g
Verzadigde vetzuren|Saturated fatty acids|F8:0| C8:0| C8:0 |g
Verzadigde vetzuren|Saturated fatty acids|F10:0| C10:0| C10:0 |g
Verzadigde vetzuren|Saturated fatty acids|F11:0| C11:0| C11:0|g
Verzadigde vetzuren|Saturated fatty acids|F12:0| C12:0| C12:0  |g
Verzadigde vetzuren|Saturated fatty acids|F13:0| C13:0| C13:0  |g
Verzadigde vetzuren|Saturated fatty acids|F14:0| C14:0| C14:0  |g
Verzadigde vetzuren|Saturated fatty acids|F15:0| C15:0| C15:0  |g
Verzadigde vetzuren|Saturated fatty acids|F16:0| C16:0| C16:0  |g
Verzadigde vetzuren|Saturated fatty acids|F17:0| C17:0| C17:0  |g
Verzadigde vetzuren|Saturated fatty acids|F18:0| C18:0| C18:0 |g
Verzadigde vetzuren|Saturated fatty acids|F19:0| C19:0| C19:0|g
Verzadigde vetzuren|Saturated fatty acids|F20:0| C20:0| C20:0  |g
Verzadigde vetzuren|Saturated fatty acids|F21:0| C21:0| C21:0|g
Verzadigde vetzuren|Saturated fatty acids|F22:0| C22:0| C22:0  |g
Verzadigde vetzuren|Saturated fatty acids|F23:0| C23:0| C23:0 |g
Verzadigde vetzuren|Saturated fatty acids|F24:0| C24:0| C24:0 |g
Verzadigde vetzuren|Saturated fatty acids|F25:0| C25:0| C25:0|g
Verzadigde vetzuren|Saturated fatty acids|F26:0| C26:0| C26:0|g
Verzadigde vetzuren|Saturated fatty acids|FASATXR| Verzuren verzadigd rest| Fatty acids saturated remainder|g
Vetzuurclusters|Fatty acid clusters|FAMSCIS| Vetzuren enkelvoudig onverzadigd cis totaal| Fatty acids monounsaturated cis total|g
Enkelvoudig onverzadigde vetzuren|Monounsaturated fatty acids|F10:1CIS| C10:1 cis  | C10:1 cis|g
Enkelvoudig onverzadigde vetzuren|Monounsaturated fatty acids|F12:1CIS| C12:1 cis  | C12:1 cis|g
Enkelvoudig onverzadigde vetzuren|Monounsaturated fatty acids|F14:1CIS| C14:1 cis  | C14:1 cis|g
