NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|71|Wortel rauw gem|Carrot raw av|2728|Wortel winterpeen rauw|Carrot winter raw|50,0
NEVO-Online 2021 7.0|71|Wortel rauw gem|Carrot raw av|2726|Wortel bospeen rauw|Carrot bunched raw|50,0
NEVO-Online 2021 7.0|72|Wortel gekookt gem|Carrot boiled av|2727|Wortel bospeen gekookt|Carrot bunched boiled|50,0
NEVO-Online 2021 7.0|72|Wortel gekookt gem|Carrot boiled av|2729|Wortel winterpeen gekookt|Carrot winter boiled|50,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|128|Peterselie vers|Parsley fresh|6,3
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|1235|Selderij blad- vers|Celery leaves fresh|6,3
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|71|Wortel rauw gem|Carrot raw av|25,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|562|Prei rauw|Leek raw|25,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|63|Ui rauw|Onions raw|25,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|558|Selderij knol- rauw|Celeriac raw|12,5
NEVO-Online 2021 7.0|83|Ei kippen- rauw gem|Egg whole chicken av raw|2769|Ei kippen- scharrel rauw|Egg whole chicken free-range raw|80,0
NEVO-Online 2021 7.0|83|Ei kippen- rauw gem|Egg whole chicken av raw|2773|Ei kippen- mais rauw|Egg whole chicken corn-fed raw|10,0
NEVO-Online 2021 7.0|83|Ei kippen- rauw gem|Egg whole chicken av raw|2771|Ei kippen- biologisch rauw|Egg whole chicken organic raw|10,0
NEVO-Online 2021 7.0|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|2770|Ei kippen- scharrel gekookt|Egg whole chicken free-range boiled|80,0
NEVO-Online 2021 7.0|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|2774|Ei kippen- mais gekookt|Egg whole chicken corn-fed boiled|10,0
NEVO-Online 2021 7.0|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|2772|Ei kippen- biologisch gekookt|Egg whole chicken organic boiled|10,0
