Broncode/Source code|Referentie/Reference
MI0002.05039|Receptuurberekening: zie de receptinformatie voor NEVO-code 5039
MI0002.05040|Receptuurberekening: zie de receptinformatie voor NEVO-code 5040
MI0002.05041|Receptuurberekening: zie de receptinformatie voor NEVO-code 5041
MI0002.05042|Receptuurberekening: zie de receptinformatie voor NEVO-code 5042
MI0002.05043|Receptuurberekening: zie de receptinformatie voor NEVO-code 5043
MI0002.05044|Receptuurberekening: zie de receptinformatie voor NEVO-code 5044
MI0002.05054|Receptuurberekening: zie de receptinformatie voor NEVO-code 5054
MI0002.05059|Receptuurberekening: zie de receptinformatie voor NEVO-code 5059
MI0002.05062|Receptuurberekening: zie de receptinformatie voor NEVO-code 5062
MI0002.05120|Receptuurberekening: zie de receptinformatie voor NEVO-code 5120
MI0002.05121|Receptuurberekening: zie de receptinformatie voor NEVO-code 5121
MI0002.05122|Receptuurberekening: zie de receptinformatie voor NEVO-code 5122
MI0002.05160|Receptuurberekening: zie de receptinformatie voor NEVO-code 5160
MI0002.05177|Receptuurberekening: zie de receptinformatie voor NEVO-code 5177
MI0002.05182|Receptuurberekening: zie de receptinformatie voor NEVO-code 5182
MI0002.05183|Receptuurberekening: zie de receptinformatie voor NEVO-code 5183
MI0002.05236| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05236|Receptuurberekening: zie de receptinformatie voor NEVO-code 5236
MI0002.05237|Receptuurberekening: zie de receptinformatie voor NEVO-code 5237
MI0002.05238|Receptuurberekening: zie de receptinformatie voor NEVO-code 5238
MI0002.05239|Receptuurberekening: zie de receptinformatie voor NEVO-code 5239
MI0002.05240|Receptuurberekening: zie de receptinformatie voor NEVO-code 5240
MI0002.05241|Receptuurberekening: zie de receptinformatie voor NEVO-code 5241
MI0002.05242|Receptuurberekening: zie de receptinformatie voor NEVO-code 5242
MI0002.05244| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05244|Receptuurberekening: zie de receptinformatie voor NEVO-code 5244
MI0002.05248|Receptuurberekening: zie de receptinformatie voor NEVO-code 5248
MI0002.05254|Receptuurberekening: zie de receptinformatie voor NEVO-code 5254
MI0002.05255|Receptuurberekening: zie de receptinformatie voor NEVO-code 5255
MI0002.05257|Receptuurberekening: zie de receptinformatie voor NEVO-code 5257
MI0002.05258| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05258|Receptuurberekening: zie de receptinformatie voor NEVO-code 5258
MI0002.05260|Receptuurberekening: zie de receptinformatie voor NEVO-code 5260
MI0002.05263| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05263| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05263|Receptuurberekening: zie de receptinformatie voor NEVO-code 5263
MI0002.05265|Receptuurberekening: zie de receptinformatie voor NEVO-code 5265
MI0002.05266| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05266| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05266|Receptuurberekening: zie de receptinformatie voor NEVO-code 5266
MI0002.05267| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05267|Receptuurberekening: zie de receptinformatie voor NEVO-code 5267
MI0002.05268| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05268|Receptuurberekening: zie de receptinformatie voor NEVO-code 5268
MI0002.05269| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05269| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05269|Receptuurberekening: zie de receptinformatie voor NEVO-code 5269
MI0002.05270|Receptuurberekening: zie de receptinformatie voor NEVO-code 5270
MI0002.05277|Receptuurberekening: zie de receptinformatie voor NEVO-code 5277
MI0002.05279|Receptuurberekening: zie de receptinformatie voor NEVO-code 5279
MI0002.05292|Receptuurberekening: zie de receptinformatie voor NEVO-code 5292
MI0002.05317|Receptuurberekening: zie de receptinformatie voor NEVO-code 5317
MI0002.05318|Receptuurberekening: zie de receptinformatie voor NEVO-code 5318
MI0002.05319|Receptuurberekening: zie de receptinformatie voor NEVO-code 5319
MI0002.05320|Receptuurberekening: zie de receptinformatie voor NEVO-code 5320
MI0002.05321|Receptuurberekening: zie de receptinformatie voor NEVO-code 5321
MI0002.05322|Receptuurberekening: zie de receptinformatie voor NEVO-code 5322
MI0002.05323|Receptuurberekening: zie de receptinformatie voor NEVO-code 5323
MI0002.05324|Receptuurberekening: zie de receptinformatie voor NEVO-code 5324
MI0002.05325|Receptuurberekening: zie de receptinformatie voor NEVO-code 5325
MI0002.05328|Receptuurberekening: zie de receptinformatie voor NEVO-code 5328
MI0002.05329|Receptuurberekening: zie de receptinformatie voor NEVO-code 5329
MI0002.05337|Receptuurberekening: zie de receptinformatie voor NEVO-code 5337
MI0002.05341|Receptuurberekening: zie de receptinformatie voor NEVO-code 5341
MI0002.05342|Receptuurberekening: zie de receptinformatie voor NEVO-code 5342
MI0002.05349|Receptuurberekening: zie de receptinformatie voor NEVO-code 5349
MI0002.05352|Receptuurberekening: zie de receptinformatie voor NEVO-code 5352
MI0002.05354| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05354|Receptuurberekening: zie de receptinformatie voor NEVO-code 5354
MI0002.05359| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05359|Receptuurberekening: zie de receptinformatie voor NEVO-code 5359
MI0002.05369|Receptuurberekening: zie de receptinformatie voor NEVO-code 5369
MI0002.05370|Receptuurberekening: zie de receptinformatie voor NEVO-code 5370
MI0002.05371|Receptuurberekening: zie de receptinformatie voor NEVO-code 5371
